Number,Name,Position,Age,Height,Weight,Experience,College,Team,Side,Salary,Salary in Milions
58,Paul Worrilow,LB,27,73,230,5,Delaware,Lions,Defense,2000000,2
50,Gerald Hodges,LB,27,74,236,5,Penn State,Saints,Defense,547059,0.547059
51,Manti Te'o,LB,27,73,241,5,Notre Dame,Saints,Defense,850000,0.85
52,Terence Garvin,LB,27,75,235,5,West Virginia,Seahawks,Defense,775000,0.775
53,Daren Bates,LB,27,71,225,5,Auburn,Titans,Defense,1250000,1.25
59,Danny Trevathan,LB,27,73,239,6,Kentucky,Bears,Defense,2000000,2
55,Vontaze Burfict,LB,27,73,255,6,Arizona State,Bengals,Defense,6535529,6.535529
55,Chandler Jones,LB,27,77,265,6,Syracuse,Cardinals,Defense,7000000,7
95,Mychal Kendricks,LB,27,73,240,6,California,Eagles,Defense,4850000,4.85
59,Tahir Whitehead,LB,27,74,241,6,Temple,Lions,Defense,3050000,3.05
53,Nick Perry,LB,27,75,265,6,USC,Packers,Defense,1300000,1.3
54,Dont'a Hightower,LB,27,75,265,6,Alabama,Patriots,Defense,1250000,1.25
54,Bobby Wagner,LB,27,73,245,6,Utah State,Seahawks,Defense,4000000,4
51,Sean Spence,LB,27,71,231,6,Miami,Steelers,Defense,729412,0.729412
59,Whitney Mercilus,LB,27,76,260,6,Illinois,Texans,Defense,4500000,4.5
94,Robert Quinn,LB,27,76,250,7,North Carolina,Rams,Defense,6161616,6.161616
42,Casey Kreiter,LS,27,73,250,2,Iowa,Broncos,Special Teams,540000,0.54
47,Charley Hughlett,LS,27,76,248,3,UCF,Browns,Special Teams,615000,0.615
46,Aaron Brewer,LS,27,77,232,6,San Diego State,Cardinals,Special Teams,775000,0.775
93,Deon Simon,NT,27,76,332,2,Northwestern State,Jets,Defense,NA,NA
92,Dontari Poe,NT,27,75,346,6,Memphis,Falcons,Defense,7500000,7.5
67,Jeremy Vujnovich,OT,27,77,300,1,Louisiana College,Colts,Offense,540000,0.54
78,Kadeem Edwards,OT,27,76,315,2,Tennessee State,Cowboys,Offense,NA,NA
70,Bryan Witzmann,OT,27,79,320,3,South Dakota State,Chiefs,Offense,540000,0.54
77,Emmett Cleary,OT,27,79,320,3,Boston College,Lions,Offense,508235,0.508235
77,David Quessenberry,OT,27,77,310,3,San Jose State,Texans,Offense,72353,0.072353
76,Garry Gilliam,OT,27,77,315,4,Penn State,49ers,Offense,1400000,1.4
78,Michael Schofield,OT,27,78,301,4,Michigan,Chargers,Offense,1797000,1.797
61,Nick Becton,OT,27,78,322,4,Virginia Tech,Giants,Offense,NA,NA
79,Jordan Mills,OT,27,77,316,5,Louisiana Tech,Bills,Offense,1350000,1.35
72,Eric Fisher,OT,27,79,315,5,Central Michigan,Chiefs,Offense,6857977,6.857977
65,Lane Johnson,OT,27,78,317,5,Oklahoma,Eagles,Offense,7750000,7.75
73,Matt Tobin,OT,27,78,303,5,Iowa,Seahawks,Offense,850000,0.85
77,Tyron Smith,OT,27,77,320,7,USC,Cowboys,Offense,1275000,1.275
6,Colton Schmidt,P,27,71,224,4,UC Davis,Bills,Special Teams,850000,0.85
9,Brad Wing,P,27,75,192,4,LSU,Giants,Special Teams,1125000,1.125
5,Tress Way,P,27,73,216,4,Oklahoma,Redskins,Special Teams,1100000,1.1
6,Sam Martin,P,27,73,211,5,Appalachian State,Lions,Special Teams,2225000,2.225
6,Ryan Allen,P,27,74,220,5,Louisiana Tech,Patriots,Special Teams,1200000,1.2
6,Johnny Hekker,P,27,77,241,6,Oregon State,Rams,Special Teams,2444444,2.444444
2,Giorgio Tavecchio,PK,27,70,180,1,California,Raiders,Special Teams,465000,0.465
4,Josh Lambo,PK,27,73,215,3,Texas A&M,Jaguars,Special Teams,397941,0.397941
3,Dustin Hopkins,PK,27,74,203,4,Florida State,Redskins,Special Teams,690000,0.69
5,AJ McCarron,QB,27,75,215,3,Alabama,Bengals,Offense,NA,NA
9,David Fales,QB,27,74,212,3,San Jose State,Dolphins,Offense,405880,0.40588
3,Tom Savage,QB,27,76,230,4,Pittsburgh,Texans,Offense,690000,0.69
17,Brock Osweiler,QB,27,79,240,5,Arizona State,Broncos,Offense,775000,0.775
9,Matt Barkley,QB,27,74,227,5,USC,Cardinals,Offense,NA,NA
3,Geno Smith,QB,27,75,221,5,West Virginia,Giants,Offense,775000,0.775
3,EJ Manuel,QB,27,76,237,5,Florida State,Raiders,Offense,775000,0.775
7,Taysom Hill,QB,27,74,221,0,BYU,Saints,Offense,465000,0.465
36,George Winn,RB,27,71,215,3,Cincinnati,Colts,Offense,NA,NA
34,Cameron Artis-Payne,RB,27,70,215,3,Auburn,Panthers,Offense,615000,0.615
28,Carlos Hyde,RB,27,73,235,4,Ohio State,49ers,Offense,822047,0.822047
34,Charles Sims,RB,27,73,211,4,West Virginia,Buccaneers,Offense,764000,0.764
38,Kenjon Barner,RB,27,69,195,4,Oregon,Eagles,Offense,568235,0.568235
28,Terrance West,RB,27,70,225,4,Towson,Ravens,Offense,1797000,1.797
25,Chris Thompson,RB,27,68,191,4,Florida State,Redskins,Offense,382942,0.382942
33,Fitzgerald Toussaint,RB,27,69,204,4,Michigan,Steelers,Offense,243529,0.243529
30,Benny Cunningham,RB,27,70,218,5,Middle Tennessee,Bears,Offense,775000,0.775
38,Christine Michael,RB,27,70,221,5,Texas A&M,Colts,Offense,NA,NA
34,Rex Burkhead,RB,27,70,210,5,Nebraska,Patriots,Offense,1800000,1.8
35,Mike Gillislee,RB,27,71,219,5,Florida,Patriots,Offense,1500000,1.5
42,Zach Line,RB,27,73,233,5,SMU,Saints,Offense,592644,0.592644
27,Eddie Lacy,RB,27,71,250,5,Alabama,Seahawks,Offense,1365000,1.365
22,Jordan Todman,RB,27,70,200,5,Connecticut,Texans,Offense,775000,0.775
33,Dion Lewis,RB,27,68,195,6,Pittsburgh,Patriots,Offense,1200000,1.2
32,Jacquizz Rodgers,RB,27,66,205,7,Oregon State,Buccaneers,Offense,1100000,1.1
41,Erik Harris,S,27,75,225,2,California (PA),Raiders,Defense,540000,0.54
25,Peyton Thompson,S,27,70,184,3,San Jose State,Jaguars,Defense,690000,0.69
49,Daniel Sorensen,S,27,74,208,4,BYU,Chiefs,Defense,690000,0.69
20,Lamarcus Joyner,S,27,68,190,4,Florida State,Rams,Defense,1105934,1.105934
31,Chris Banjo,S,27,70,207,4,SMU,Saints,Defense,850000,0.85
23,Micah Hyde,S,27,73,197,5,Iowa,Bills,Defense,2300000,2.3
22,T.J. McDonald,S,27,74,223,5,USC,Dolphins,Defense,944445,0.944445
31,Michael Thomas,S,27,71,195,5,Stanford,Dolphins,Defense,1797000,1.797
30,Duron Harmon,S,27,73,205,5,Rutgers,Patriots,Defense,1500000,1.5
30,Bradley McDougald,S,27,73,215,5,Kansas,Seahawks,Defense,800000,0.8
37,Johnathan Cyprien,S,27,73,223,5,Florida Intl,Titans,Defense,NA,NA
43,George Iloka,S,27,76,225,6,Boise State,Bengals,Defense,4000000,4
23,Rodney McLeod,S,27,70,195,6,Virginia,Eagles,Defense,775000,0.775
39,Tashaun Gipson,S,27,71,212,6,Wyoming,Jaguars,Defense,5000000,5
32,Tavon Wilson,S,27,73,212,6,Illinois,Lions,Defense,900000,0.9
20,Robert Golden,S,27,71,202,6,Arizona,Steelers,Defense,1465000,1.465
89,Matt Lengel,TE,27,79,266,2,Eastern Kentucky,Browns,Offense,317647,0.317647
82,Orson Charles,TE,27,75,247,3,Georgia,Chiefs,Offense,202940,0.20294
89,Ryan Hewitt,TE,27,76,255,4,Stanford,Bengals,Offense,1700000,1.7
85,Tyler Eifert,TE,27,78,255,5,Notre Dame,Bengals,Offense,4782000,4.782
84,Jack Doyle,TE,27,78,262,5,Western Kentucky,Colts,Offense,1000000,1
86,Zach Ertz,TE,27,77,250,5,Stanford,Eagles,Offense,775000,0.775
81,Mychal Rivera,TE,27,75,245,5,Tennessee,Jaguars,Offense,NA,NA
12,Chris Gragg,TE,27,75,244,5,Arkansas,Jets,Offense,NA,NA
86,Derek Carrier,TE,27,76,244,5,Beloit College,Rams,Offense,950000,0.95
86,Jordan Reed,TE,27,74,246,5,Florida,Redskins,Offense,3750000,3.75
89,Josh Hill,TE,27,77,250,5,Idaho State,Saints,Offense,1650000,1.65
89,Vance McDonald,TE,27,76,267,5,Rice,Steelers,Offense,2100000,2.1
83,Dwayne Allen,TE,27,75,265,6,Clemson,Patriots,Offense,2500000,2.5
17,Cobi Hamilton,WR,27,74,201,2,Arkansas,Texans,Offense,190590,0.19059
12,Tavarres King,WR,27,73,192,3,Georgia,Giants,Offense,487059,0.487059
12,John Brown,WR,27,71,179,4,Pittsburg State,Cardinals,Offense,1797000,1.797
15,Nick Williams,WR,27,70,184,4,Connecticut,Falcons,Offense,690000,0.69
11,Brenton Bersin,WR,27,75,210,4,Wofford,Panthers,Offense,365292,0.365292
12,Michael Campanaro,WR,27,69,191,4,Wake Forest,Ravens,Offense,700000,0.7
14,Ryan Grant,WR,27,73,204,4,Tulane,Redskins,Offense,690000,0.69
19,Adam Thielen,WR,27,74,200,4,Minnesota State,Vikings,Offense,2746000,2.746
11,Marquise Goodwin,WR,27,69,179,5,Texas,49ers,Offense,1950000,1.95
19,Russell Shepard,WR,27,73,195,5,LSU,Panthers,Offense,1100000,1.1
11,Tavon Austin,WR,27,68,179,5,West Virginia,Rams,Offense,3500000,3.5
17,Alshon Jeffery,WR,27,75,218,6,South Carolina,Eagles,Offense,1000000,1
10,Jermaine Kearse,WR,27,73,209,6,Washington,Jets,Offense,2200000,2.2
11,Marvin Jones Jr.,WR,27,74,198,6,California,Lions,Offense,NA,NA
18,Randall Cobb,WR,27,70,192,7,Kentucky,Packers,Offense,8600000,8.6
75,Jon Halapio,C,26,75,315,1,Florida,Giants,Offense,355589,0.355589
54,Dillon Day,C,26,76,299,1,Mississippi State,Packers,Offense,NA,NA
69,Tyler Larsen,C,26,76,325,2,Utah,Panthers,Offense,540000,0.54
67,B.J. Finney,C,26,76,318,2,Kansas State,Steelers,Offense,540000,0.54
55,Hroniss Grasu,C,26,75,301,3,Oregon,Bears,Offense,687500,0.6875
69,Brett Jones,C,26,74,312,3,University of Regina,Giants,Offense,615000,0.615
70,Weston Richburg,C,26,76,300,4,Colorado State,Giants,Offense,1085093,1.085093
65,Brandon Linder,C,26,78,315,4,Miami,Jaguars,Offense,5500000,5.5
78,Jonotthan Harrison,C,26,76,300,4,Florida,Jets,Offense,700000,0.7
